record,reasons
"{'description': 'priya_deshmukh attempted Egg Fried Rice (success)', 'type': 'attempt', 'timestamp': '2025-04-26T10:31:51.037727Z', 'id': 'int-001908358f', 'recipe_id': 'egg-fried-rice-8c141f', 'metadata': {'success': True, 'notes': '', 'device': 'desktop', 'platform': 'web', 'referrer': 'social', 'time_taken_minutes': 113}, 'session_id': 'sess-a74a7c09f0', 'user_id': 'priya_deshmukh'}",['duplicate_id']
"{'timestamp': '2025-08-20T04:30:23.567808Z', 'metadata': {'device': 'desktop'}, 'type': 'view', 'recipe_id': 'paneer-butter-masala-5f759d', 'id': 'int-0075558b7a', 'user_id': 'noodleninja', 'description': 'noodleninja viewed Paneer Butter Masala'}",['duplicate_id']
"{'description': 'Home-style Chicken Curry viewed by currymaster on web', 'type': 'view', 'timestamp': '2025-04-02T09:52:45.606006Z', 'id': 'int-00acf54df6', 'recipe_id': 'chicken-curry-9bf96a', 'metadata': {'platform': 'web', 'device': 'tablet', 'referrer': 'suggested', 'duration_seconds': 21, 'scroll_depth': 0.82}, 'session_id': 'sess-19c1f913bd', 'user_id': 'currymaster'}",['duplicate_id']
"{'description': 'rohan_kulkarni liked Pasta Alfredo', 'type': 'like', 'timestamp': '2025-03-30T02:13:55.126374Z', 'id': 'int-00ad0b91e2', 'recipe_id': 'pasta-alfredo-c7f2cd', 'metadata': {'platform': 'ios', 'device': 'mobile', 'referrer': 'homepage'}, 'session_id': 'sess-c7d67c8f79', 'user_id': 'rohan_kulkarni'}",['duplicate_id']
"{'timestamp': '2025-07-28T04:30:40.504502Z', 'metadata': {'device': 'mobile'}, 'type': 'view', 'recipe_id': 'veg-burrito-d6c1f6', 'id': 'int-00c509edcb', 'user_id': 'noodleninja_8a8a', 'description': 'noodleninja_8a8a viewed Veg Burrito'}",['duplicate_id']
"{'description': 'Chicken Biryani (Dum Style) viewed by noodleninja_8a8a on web', 'type': 'view', 'timestamp': '2025-04-18T06:57:28.765033Z', 'id': 'int-00cd5e5606', 'recipe_id': 'chicken-biryani-949171', 'metadata': {'platform': 'web', 'device': 'tablet', 'referrer': 'suggested', 'duration_seconds': 82, 'scroll_depth': 0.81}, 'session_id': 'sess-cd667f7313', 'user_id': 'noodleninja_8a8a'}",['duplicate_id']
"{'timestamp': '2025-10-05T04:30:30.590027Z', 'metadata': {'rating': 5}, 'type': 'rating', 'recipe_id': 'tomato-soup-65137c', 'id': 'int-010c28f4b6', 'user_id': 'priya_deshmukh', 'description': 'priya_deshmukh rated Tomato Basil Soup 5 stars'}",['duplicate_id']
"{'timestamp': '2025-09-29T04:30:40.761998Z', 'metadata': {'rating': 3}, 'type': 'rating', 'recipe_id': 'veg-burrito-d6c1f6', 'id': 'int-01356fc49e', 'user_id': 'noodleninja', 'description': 'noodleninja rated Veg Burrito 3 stars'}",['duplicate_id']
"{'description': 'Tomato Basil Soup viewed by currymaster on ios', 'type': 'view', 'timestamp': '2025-04-02T07:49:41.606006Z', 'id': 'int-01e6f56cc6', 'recipe_id': 'tomato-soup-65137c', 'metadata': {'platform': 'ios', 'device': 'mobile', 'referrer': 'suggested', 'duration_seconds': 87, 'scroll_depth': 0.85}, 'session_id': 'sess-fee80e5d94', 'user_id': 'currymaster'}",['duplicate_id']
"{'timestamp': '2025-09-03T04:30:31.981259Z', 'metadata': {'device': 'mobile'}, 'type': 'view', 'recipe_id': 'idli-sambar-95c3a4', 'id': 'int-026b31e451', 'user_id': 'aarav_sharma', 'description': 'aarav_sharma viewed Idli with Sambar'}",['duplicate_id']
