record,reasons
"{'created_at': '2025-11-20T04:53:06.929862Z', 'steps': [{'step_number': 1, 'description': 'Make a soft dough with wheat flour and water; rest 15 minutes.'}, {'step_number': 2, 'description': 'Mash boiled potatoes, add chopped chillies, coriander, garam masala and salt.'}, {'step_number': 3, 'description': 'Roll dough into small circle, place potato filling, seal and roll gently into paratha.'}, {'step_number': 4, 'description': 'Cook on tawa with ghee until golden brown on both sides; serve hot with curd or pickle.'}], 'texture': 'Soft', 'tags': ['breakfast', 'flatbread'], 'nutrition_groups': ['Carbs', 'Fat', 'Vitamins'], 'prep_time_min': 20, 'total_time_min': 40, 'ingredients': [{'name': 'Wheat flour', 'quantity': 3, 'unit': 'cups'}, {'name': 'Boiled potatoes', 'quantity': 4, 'unit': 'medium'}, {'name': 'Green chillies', 'quantity': 2, 'unit': 'pieces'}, {'name': 'Coriander', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Garam masala', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Salt', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Ghee or oil', 'quantity': 3, 'unit': 'tbsp'}, {'name': 'Water', 'quantity': 'as needed', 'unit': ''}], 'difficulty': 'easy', 'servings': 4, 'category_type': 'Comfort Food', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 20, 'occasion': ['Breakfast', 'Lunch'], 'served_temperature': 'Hot', 'title': 'Aloo Paratha', 'id': 'aloo-paratha-76e72f'}",['duplicate_content']
"{'created_at': '2025-04-04T04:53:05.927597Z', 'steps': [{'step_number': 1, 'description': 'Wash and soak basmati rice for 30 minutes.'}, {'step_number': 2, 'description': 'Marinate chicken with yogurt, ginger-garlic paste, biryani masala, red chilli, turmeric and salt for at least 30 minutes.'}, {'step_number': 3, 'description': 'Fry onions until deep golden and set aside. Reserve some for garnish.'}, {'step_number': 4, 'description': 'Par-cook rice in salted boiling water till 70% done; drain and keep aside.'}, {'step_number': 5, 'description': 'In a heavy bottom pan, heat ghee and oil, add whole spices and sauté for 30 seconds.'}, {'step_number': 6, 'description': 'Add marinated chicken and cook until chicken is 80% done and oil separates.'}, {'step_number': 7, 'description': 'Layer half the rice over chicken, sprinkle half of mint, coriander and fried onions. Repeat layers.'}, {'step_number': 8, 'description': 'Dissolve saffron in warm milk and drizzle on top, add ghee.'}, {'step_number': 9, 'description': 'Seal the pan with dough or tight lid and cook on low flame (dum) for 25-30 minutes.'}, {'step_number': 10, 'description': 'Turn off heat and rest for 10 minutes before opening. Gently mix layers and serve hot with raita.'}], 'texture': 'Layered', 'tags': ['one-pot', 'festive'], 'nutrition_groups': ['Carbs', 'Protein', 'Fat', 'Vitamins', 'Minerals'], 'prep_time_min': 40, 'total_time_min': 100, 'ingredients': [{'name': 'Basmati rice', 'quantity': 2, 'unit': 'cups'}, {'name': 'Chicken (with bone)', 'quantity': 800, 'unit': 'grams'}, {'name': 'Onions (fried)', 'quantity': 3, 'unit': 'medium'}, {'name': 'Yogurt', 'quantity': 1, 'unit': 'cup'}, {'name': 'Ginger garlic paste', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Biryani masala', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Turmeric', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Red chilli powder', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Garam masala', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Mint leaves', 'quantity': 0.5, 'unit': 'cup'}, {'name': 'Coriander leaves', 'quantity': 0.5, 'unit': 'cup'}, {'name': 'Fried onions', 'quantity': 1, 'unit': 'cup'}, {'name': 'Saffron', 'quantity': 0.001, 'unit': 'pinch'}, {'name': 'Milk (warm)', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Ghee', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Salt', 'quantity': 1.5, 'unit': 'tsp'}, {'name': 'Whole spices (bay leaf,cinnamon,cardamom,cloves)', 'quantity': 1, 'unit': 'tbsp'}, {'name': 'Oil', 'quantity': 2, 'unit': 'tbsp'}], 'difficulty': 'hard', 'servings': 4, 'category_type': 'Spicy', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 60, 'occasion': ['Lunch', 'Dinner', 'Festive'], 'served_temperature': 'Hot', 'title': 'Chicken Biryani (Dum Style)', 'id': 'chicken-biryani-c42eb8'}",['duplicate_content']
"{'created_at': '2025-04-04T04:53:07.533292Z', 'steps': [{'step_number': 1, 'description': 'Heat oil, sauté onions until golden; add ginger-garlic paste and cook until raw smell disappears.'}, {'step_number': 2, 'description': 'Add tomato puree and cook until oil separates.'}, {'step_number': 3, 'description': 'Add spices (turmeric, chilli, coriander) and mix; add chicken pieces and mix to coat.'}, {'step_number': 4, 'description': 'Add water to cover chicken partly, simmer on medium-low for 25-30 minutes until chicken is cooked and gravy thickens.'}, {'step_number': 5, 'description': 'Stir in garam masala, garnish with coriander and serve hot with rice or roti.'}], 'texture': 'Thick', 'tags': ['homestyle', 'comfort'], 'nutrition_groups': ['Protein', 'Fat', 'Vitamins'], 'prep_time_min': 15, 'total_time_min': 55, 'ingredients': [{'name': 'Chicken (cut)', 'quantity': 800, 'unit': 'grams'}, {'name': 'Onion', 'quantity': 2, 'unit': 'medium'}, {'name': 'Tomato', 'quantity': 2, 'unit': 'medium'}, {'name': 'Ginger garlic paste', 'quantity': 1, 'unit': 'tbsp'}, {'name': 'Turmeric', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Red chilli powder', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Coriander powder', 'quantity': 1, 'unit': 'tbsp'}, {'name': 'Garam masala', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Oil', 'quantity': 3, 'unit': 'tbsp'}, {'name': 'Salt', 'quantity': 1.5, 'unit': 'tsp'}, {'name': 'Coriander (garnish)', 'quantity': 2, 'unit': 'tbsp'}], 'difficulty': 'medium', 'servings': 4, 'category_type': 'Spicy', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 40, 'occasion': ['Lunch', 'Dinner'], 'served_temperature': 'Hot', 'title': 'Home-style Chicken Curry', 'id': 'chicken-curry-7cb53a'}",['duplicate_content']
"{'created_at': '2025-09-11T04:53:07.885464Z', 'steps': [{'step_number': 1, 'description': 'Season chicken with taco spice and a pinch of salt; sauté in hot oil until cooked through.'}, {'step_number': 2, 'description': 'Warm tortillas and layer with lettuce, chicken, tomato and onion.'}, {'step_number': 3, 'description': 'Top with sour cream or salsa and serve immediately.'}], 'texture': 'Crunchy', 'tags': ['street-food', 'quick'], 'nutrition_groups': ['Protein', 'Carbs'], 'prep_time_min': 15, 'total_time_min': 30, 'ingredients': [{'name': 'Chicken breast (sliced)', 'quantity': 400, 'unit': 'grams'}, {'name': 'Taco spice mix', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Tortillas', 'quantity': 8, 'unit': 'pieces'}, {'name': 'Lettuce', 'quantity': 1, 'unit': 'cup shredded'}, {'name': 'Tomato', 'quantity': 1, 'unit': 'cup diced'}, {'name': 'Onion', 'quantity': 0.5, 'unit': 'cup chopped'}, {'name': 'Oil', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Sour cream (optional)', 'quantity': 4, 'unit': 'tbsp'}], 'difficulty': 'easy', 'servings': 4, 'category_type': 'Spicy', 'author': 'Synthetic Chef', 'cuisine': 'Mexican', 'cook_time_min': 15, 'occasion': ['Lunch', 'Snack'], 'served_temperature': 'Warm', 'title': 'Chicken Tacos', 'id': 'chicken-tacos-8b19fd'}",['duplicate_content']
"{'created_at': '2025-04-27T04:53:08.007782Z', 'steps': [{'step_number': 1, 'description': 'Preheat oven to 180°C (350°F). Grease and line a 8-inch cake pan.'}, {'step_number': 2, 'description': 'In a bowl, sift flour, cocoa, baking powder, baking soda and salt.'}, {'step_number': 3, 'description': 'In another bowl whisk eggs, sugar, oil and vanilla; mix with dry ingredients alternating with milk.'}, {'step_number': 4, 'description': 'Stir in hot water to make a smooth batter; pour into prepared pan and bake for 28-32 minutes until a skewer comes out clean.'}, {'step_number': 5, 'description': 'Cool, remove from pan and frost or dust with cocoa as desired.'}], 'texture': 'Soft', 'tags': ['dessert', 'baking'], 'nutrition_groups': ['Carbs', 'Fat', 'Sugars'], 'prep_time_min': 15, 'total_time_min': 45, 'ingredients': [{'name': 'All-purpose flour', 'quantity': 1.5, 'unit': 'cups'}, {'name': 'Sugar', 'quantity': 1, 'unit': 'cup'}, {'name': 'Cocoa powder', 'quantity': 0.5, 'unit': 'cup'}, {'name': 'Baking powder', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Baking soda', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Salt', 'quantity': 0.25, 'unit': 'tsp'}, {'name': 'Eggs', 'quantity': 2, 'unit': 'pieces'}, {'name': 'Milk', 'quantity': 0.5, 'unit': 'cup'}, {'name': 'Vegetable oil', 'quantity': 0.5, 'unit': 'cup'}, {'name': 'Vanilla extract', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Hot water', 'quantity': 0.5, 'unit': 'cup'}], 'difficulty': 'medium', 'servings': 8, 'category_type': 'Sweet', 'author': 'Synthetic Chef', 'cuisine': 'Dessert', 'cook_time_min': 30, 'occasion': ['Celebration', 'Dessert'], 'served_temperature': 'Warm', 'title': 'Chocolate Cake (One Bowl)', 'id': 'chocolate-cake-e21af0'}",['duplicate_content']
"{'created_at': '2024-12-10T04:53:07.291492Z', 'steps': [{'step_number': 1, 'description': 'Pressure cook soaked chickpeas with salt until soft (about 6-7 whistles).'}, {'step_number': 2, 'description': 'Heat oil, add chopped onions and sauté until golden; add ginger-garlic paste and sauté briefly.'}, {'step_number': 3, 'description': 'Add tomato puree and cook until oil separates; add chole masala, red chilli and cook 1-2 minutes.'}, {'step_number': 4, 'description': 'Add cooked chickpeas, some of the cooking water, simmer for 10-12 minutes; add amchur and garnish with coriander.'}], 'texture': 'Thick', 'tags': ['north-indian', 'street-food'], 'nutrition_groups': ['Protein', 'Carbs', 'Vitamins'], 'prep_time_min': 30, 'total_time_min': 70, 'ingredients': [{'name': 'Chickpeas (soaked overnight)', 'quantity': 2, 'unit': 'cups'}, {'name': 'Onion', 'quantity': 2, 'unit': 'medium'}, {'name': 'Tomato', 'quantity': 3, 'unit': 'medium'}, {'name': 'Ginger garlic paste', 'quantity': 1, 'unit': 'tbsp'}, {'name': 'Chole masala', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Red chilli powder', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Amchur (dry mango)', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Oil', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Salt', 'quantity': 1.5, 'unit': 'tsp'}, {'name': 'Coriander', 'quantity': 2, 'unit': 'tbsp'}], 'difficulty': 'medium', 'servings': 4, 'category_type': 'Spicy', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 40, 'occasion': ['Lunch', 'Dinner'], 'served_temperature': 'Hot', 'title': 'Chole Masala', 'id': 'chole-masala-97dc16'}",['duplicate_content']
"{'created_at': '2024-10-27T04:53:07.180414Z', 'steps': [{'step_number': 1, 'description': 'Rinse dal and cook with turmeric and water until soft (pressure cook 3-4 whistles).'}, {'step_number': 2, 'description': 'Mash dal to desired consistency and simmer for 4-5 minutes.'}, {'step_number': 3, 'description': 'In a small pan, heat ghee, add cumin seeds, slit red chilli, garlic and curry leaves; sauté until garlic is golden.'}, {'step_number': 4, 'description': 'Pour tadka over dal, mix well, garnish with coriander and serve with rice or roti.'}], 'texture': 'Soft', 'tags': ['comfort', 'vegetarian'], 'nutrition_groups': ['Protein', 'Carbs', 'Vitamins'], 'prep_time_min': 10, 'total_time_min': 35, 'ingredients': [{'name': 'Toor dal', 'quantity': 1, 'unit': 'cup'}, {'name': 'Turmeric', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Tomato', 'quantity': 1, 'unit': 'medium'}, {'name': 'Garlic', 'quantity': 4, 'unit': 'cloves'}, {'name': 'Ghee', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Cumin seeds', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Red chilli', 'quantity': 1, 'unit': 'piece'}, {'name': 'Curry leaves', 'quantity': 5, 'unit': 'leaves'}, {'name': 'Salt', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Coriander (garnish)', 'quantity': 1, 'unit': 'tbsp'}], 'difficulty': 'easy', 'servings': 4, 'category_type': 'Savory', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 25, 'occasion': ['Lunch', 'Dinner'], 'served_temperature': 'Hot', 'title': 'Dal Tadka (Yellow Lentils with Tadka)', 'id': 'dal-tadka-15e912'}",['duplicate_content']
"{'created_at': '2025-09-12T04:53:07.410047Z', 'steps': [{'step_number': 1, 'description': 'Heat wok, add oil and scramble beaten eggs quickly; remove and set aside.'}, {'step_number': 2, 'description': 'Add more oil, sauté garlic, then add cooked rice and toss on high heat.'}, {'step_number': 3, 'description': 'Add soy sauce, salt, pepper and mix; fold in scrambled eggs and spring onions before serving.'}], 'texture': 'Soft', 'tags': ['quick', 'lunch'], 'nutrition_groups': ['Carbs', 'Protein'], 'prep_time_min': 10, 'total_time_min': 18, 'ingredients': [{'name': 'Cooked rice (day-old)', 'quantity': 2, 'unit': 'cups'}, {'name': 'Eggs', 'quantity': 2, 'unit': 'pieces'}, {'name': 'Oil', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Garlic', 'quantity': 2, 'unit': 'cloves'}, {'name': 'Spring onions', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Soy sauce', 'quantity': 1, 'unit': 'tbsp'}, {'name': 'Salt', 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'Pepper', 'quantity': 0.25, 'unit': 'tsp'}], 'difficulty': 'easy', 'servings': 2, 'category_type': 'Savory', 'author': 'Synthetic Chef', 'cuisine': 'Chinese', 'cook_time_min': 8, 'occasion': ['Lunch', 'Dinner'], 'served_temperature': 'Hot', 'title': 'Egg Fried Rice', 'id': 'egg-fried-rice-5c895e'}",['duplicate_content']
"{'created_at': '2025-10-23T04:53:08.131032Z', 'steps': [{'step_number': 1, 'description': 'Make a smooth dough from milk powder, flour and milk; divide into small smooth balls without cracks.'}, {'step_number': 2, 'description': 'Heat sugar and water to make a one-string syrup; add crushed cardamom and a dash of rose water.'}, {'step_number': 3, 'description': 'Deep fry balls on low-medium heat until golden brown; drain briefly and transfer into warm sugar syrup. Let soak for 1-2 hours before serving.'}], 'texture': 'Soft', 'tags': ['dessert', 'festive'], 'nutrition_groups': ['Carbs', 'Fats', 'Sugars'], 'prep_time_min': 30, 'total_time_min': 50, 'ingredients': [{'name': 'Milk powder', 'quantity': 1, 'unit': 'cup'}, {'name': 'All-purpose flour', 'quantity': 0.25, 'unit': 'cup'}, {'name': 'Baking soda (a pinch)', 'quantity': 0.01, 'unit': 'tsp'}, {'name': 'Ghee or oil (for deep fry)', 'quantity': 500, 'unit': 'ml'}, {'name': 'Milk (to knead)', 'quantity': 0.25, 'unit': 'cup'}, {'name': 'Sugar', 'quantity': 2, 'unit': 'cups'}, {'name': 'Water', 'quantity': 1.25, 'unit': 'cups'}, {'name': 'Cardamom pods', 'quantity': 4, 'unit': 'pieces'}, {'name': 'Rose water (optional)', 'quantity': 1, 'unit': 'tsp'}], 'difficulty': 'medium', 'servings': 20, 'category_type': 'Sweet', 'author': 'Synthetic Chef', 'cuisine': 'Dessert', 'cook_time_min': 20, 'occasion': ['Festive', 'Dessert'], 'served_temperature': 'Warm', 'title': 'Gulab Jamun', 'id': 'gulab-jamun-21d96c'}",['duplicate_content']
"{'created_at': '2025-01-31T04:53:06.798382Z', 'steps': [{'step_number': 1, 'description': 'Steam idlis from batter in idli moulds for 10–12 minutes until spongy.'}, {'step_number': 2, 'description': 'Cook toor dal until soft and mash or blend to smooth consistency.'}, {'step_number': 3, 'description': 'In a pan, sauté vegetables, add sambar powder and tamarind pulp with water, bring to boil.'}, {'step_number': 4, 'description': 'Add cooked dal, simmer 7–8 minutes, finish with tadka of mustard seeds and curry leaves.'}, {'step_number': 5, 'description': 'Serve hot idlis with sambar and coconut chutney.'}], 'texture': 'Soft', 'tags': ['breakfast', 'south-indian'], 'nutrition_groups': ['Carbs', 'Protein', 'Vitamins'], 'prep_time_min': 480, 'total_time_min': 510, 'ingredients': [{'name': 'Idli batter (rice+urad)', 'quantity': 4, 'unit': 'cups'}, {'name': 'Toor dal', 'quantity': 1, 'unit': 'cup'}, {'name': 'Tamarind pulp', 'quantity': 0.25, 'unit': 'cup'}, {'name': 'Sambar powder', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Mixed vegetables (drumstick, carrot, onion)', 'quantity': 2, 'unit': 'cups'}, {'name': 'Mustard seeds', 'quantity': 1, 'unit': 'tsp'}, {'name': 'Curry leaves', 'quantity': 10, 'unit': 'leaves'}, {'name': 'Oil', 'quantity': 2, 'unit': 'tbsp'}, {'name': 'Salt', 'quantity': 1.5, 'unit': 'tsp'}], 'difficulty': 'medium', 'servings': 4, 'category_type': 'Comfort Food', 'author': 'Synthetic Chef', 'cuisine': 'Indian', 'cook_time_min': 30, 'occasion': ['Breakfast', 'Lunch'], 'served_temperature': 'Hot', 'title': 'Idli with Sambar', 'id': 'idli-sambar-7818ec'}",['duplicate_content']
