recipe_id,step_number,step_text
aloo-paratha-6d7a6c,1,Make a soft dough with wheat flour and water; rest 15 minutes.
aloo-paratha-6d7a6c,2,"Mash boiled potatoes, add chopped chillies, coriander, garam masala and salt."
aloo-paratha-6d7a6c,3,"Roll dough into small circle, place potato filling, seal and roll gently into paratha."
aloo-paratha-6d7a6c,4,Cook on tawa with ghee until golden brown on both sides; serve hot with curd or pickle.
chicken-biryani-1e5d57,1,Wash and soak basmati rice for 30 minutes.
chicken-biryani-1e5d57,2,"Marinate chicken with yogurt, ginger-garlic paste, biryani masala, red chilli, turmeric and salt for at least 30 minutes."
chicken-biryani-1e5d57,3,Fry onions until deep golden and set aside. Reserve some for garnish.
chicken-biryani-1e5d57,4,Par-cook rice in salted boiling water till 70% done; drain and keep aside.
chicken-biryani-1e5d57,5,"In a heavy bottom pan, heat ghee and oil, add whole spices and sauté for 30 seconds."
chicken-biryani-1e5d57,6,Add marinated chicken and cook until chicken is 80% done and oil separates.
chicken-biryani-1e5d57,7,"Layer half the rice over chicken, sprinkle half of mint, coriander and fried onions. Repeat layers."
chicken-biryani-1e5d57,8,"Dissolve saffron in warm milk and drizzle on top, add ghee."
chicken-biryani-1e5d57,9,Seal the pan with dough or tight lid and cook on low flame (dum) for 25-30 minutes.
chicken-biryani-1e5d57,10,Turn off heat and rest for 10 minutes before opening. Gently mix layers and serve hot with raita.
chicken-curry-1307bd,1,"Heat oil, sauté onions until golden; add ginger-garlic paste and cook until raw smell disappears."
chicken-curry-1307bd,2,Add tomato puree and cook until oil separates.
chicken-curry-1307bd,3,"Add spices (turmeric, chilli, coriander) and mix; add chicken pieces and mix to coat."
chicken-curry-1307bd,4,"Add water to cover chicken partly, simmer on medium-low for 25-30 minutes until chicken is cooked and gravy thickens."
chicken-curry-1307bd,5,"Stir in garam masala, garnish with coriander and serve hot with rice or roti."
chicken-tacos-e1e0b9,1,Season chicken with taco spice and a pinch of salt; sauté in hot oil until cooked through.
chicken-tacos-e1e0b9,2,"Warm tortillas and layer with lettuce, chicken, tomato and onion."
chicken-tacos-e1e0b9,3,Top with sour cream or salsa and serve immediately.
chocolate-cake-1cfb0b,1,Preheat oven to 180°C (350°F). Grease and line a 8-inch cake pan.
chocolate-cake-1cfb0b,2,"In a bowl, sift flour, cocoa, baking powder, baking soda and salt."
chocolate-cake-1cfb0b,3,"In another bowl whisk eggs, sugar, oil and vanilla; mix with dry ingredients alternating with milk."
chocolate-cake-1cfb0b,4,Stir in hot water to make a smooth batter; pour into prepared pan and bake for 28-32 minutes until a skewer comes out clean.
chocolate-cake-1cfb0b,5,"Cool, remove from pan and frost or dust with cocoa as desired."
chole-masala-4b4978,1,Pressure cook soaked chickpeas with salt until soft (about 6-7 whistles).
chole-masala-4b4978,2,"Heat oil, add chopped onions and sauté until golden; add ginger-garlic paste and sauté briefly."
chole-masala-4b4978,3,"Add tomato puree and cook until oil separates; add chole masala, red chilli and cook 1-2 minutes."
chole-masala-4b4978,4,"Add cooked chickpeas, some of the cooking water, simmer for 10-12 minutes; add amchur and garnish with coriander."
dal-tadka-038f43,1,Rinse dal and cook with turmeric and water until soft (pressure cook 3-4 whistles).
dal-tadka-038f43,2,Mash dal to desired consistency and simmer for 4-5 minutes.
dal-tadka-038f43,3,"In a small pan, heat ghee, add cumin seeds, slit red chilli, garlic and curry leaves; sauté until garlic is golden."
dal-tadka-038f43,4,"Pour tadka over dal, mix well, garnish with coriander and serve with rice or roti."
egg-fried-rice-962d81,1,"Heat wok, add oil and scramble beaten eggs quickly; remove and set aside."
egg-fried-rice-962d81,2,"Add more oil, sauté garlic, then add cooked rice and toss on high heat."
egg-fried-rice-962d81,3,"Add soy sauce, salt, pepper and mix; fold in scrambled eggs and spring onions before serving."
gulab-jamun-37f6d0,1,"Make a smooth dough from milk powder, flour and milk; divide into small smooth balls without cracks."
gulab-jamun-37f6d0,2,Heat sugar and water to make a one-string syrup; add crushed cardamom and a dash of rose water.
gulab-jamun-37f6d0,3,Deep fry balls on low-medium heat until golden brown; drain briefly and transfer into warm sugar syrup. Let soak for 1-2 hours before serving.
idli-sambar-60d47e,1,Steam idlis from batter in idli moulds for 10–12 minutes until spongy.
idli-sambar-60d47e,2,Cook toor dal until soft and mash or blend to smooth consistency.
idli-sambar-60d47e,3,"In a pan, sauté vegetables, add sambar powder and tamarind pulp with water, bring to boil."
idli-sambar-60d47e,4,"Add cooked dal, simmer 7–8 minutes, finish with tadka of mustard seeds and curry leaves."
idli-sambar-60d47e,5,Serve hot idlis with sambar and coconut chutney.
kheer-12334d,1,Wash rice and soak 15 minutes; drain.
kheer-12334d,2,"Bring milk to a boil in a heavy-bottom pan; add rice and simmer on low, stirring frequently."
kheer-12334d,3,Cook until rice is soft and milk reduces to creamy consistency (25-30 minutes).
kheer-12334d,4,"Add sugar, cardamom, saffron, nuts and raisins; simmer 2-3 minutes more and serve warm or chilled."
khichdi-909bc6db,1,"Wash rice, moong dal and toor dal thoroughly. Soak in water for 15 minutes, then drain."
khichdi-909bc6db,2,"Peel and chop onions; chop tomatoes, green chilies and dice potatoes into small cubes. Keep curry leaves whole and finely chop coriander for garnish."
khichdi-909bc6db,3,Place a 3–5 L pressure cooker on medium flame. Warm the cooker for 30–60 seconds and add oil; allow it to heat until it shimmers.
khichdi-909bc6db,4,Add jeera and mustard seeds. Let them splutter for 20–30 seconds but do not burn.
khichdi-909bc6db,5,"Add chopped onions and green chilies. Sauté for 3–4 minutes until onions turn light golden, stirring continuously."
khichdi-909bc6db,6,Add chopped tomato and cook for 1–2 minutes until tomatoes soften and turn pulpy.
khichdi-909bc6db,7,"Add salt, red chilli powder, turmeric, ginger-garlic paste, curry leaves and potato cubes. Mix and cook for 4–5 minutes to remove raw spice smell."
khichdi-909bc6db,8,"Add soaked and drained rice, moong dal and toor dal. Mix gently to avoid breaking rice grains."
khichdi-909bc6db,9,Pour 4 cups of water into the cooker and stir once. Check salt and adjust.
khichdi-909bc6db,10,Close the cooker lid and place the whistle. Cook on medium flame for 3 whistles (~10–12 minutes).
khichdi-909bc6db,11,Turn off the gas and allow the pressure to release naturally. Do not open immediately.
khichdi-909bc6db,12,"Open the lid carefully once pressure is released. Add chopped coriander, mix gently and serve hot with ghee or curd."
masala-dosa-3d8339,1,"Soak rice and urad dal with fenugreek separately for 4–6 hours. Grind to a smooth batter, mix and ferment overnight (8–12 hours)."
masala-dosa-3d8339,2,"Boil potatoes, peel and mash lightly; in a pan heat oil, add mustard seeds, curry leaves and onions, sauté until soft."
masala-dosa-3d8339,3,"Add turmeric and chopped green chillies, add mashed potatoes, salt and mix; cook 2–3 minutes and finish with coriander."
masala-dosa-3d8339,4,"Heat a non-stick tawa, pour a ladle of batter and spread into a thin circle; drizzle oil around edges."
masala-dosa-3d8339,5,"When dosa edges lift and bottom is golden, place potato masala on one side and fold; serve hot with sambar and chutney."
paneer-butter-masala-c68624,1,Soak cashews in warm water for 15 minutes and grind to a smooth paste with a tablespoon of water.
paneer-butter-masala-c68624,2,Heat butter and oil in a heavy-bottom pan on medium flame. Add finely chopped onions and sauté until translucent (4-5 minutes).
paneer-butter-masala-c68624,3,Add ginger-garlic paste and sauté for 30 seconds until raw smell disappears.
paneer-butter-masala-c68624,4,Add tomato puree and cook on medium heat until oil separates from the masala (6-7 minutes).
paneer-butter-masala-c68624,5,"Add Kashmiri red chilli, turmeric, coriander powder and salt. Mix well and cook for 1 minute."
paneer-butter-masala-c68624,6,"Stir in the cashew paste and 1/2 cup water. Cook for 2-3 minutes on low heat, stirring continuously."
paneer-butter-masala-c68624,7,Add paneer cubes gently and simmer for 3 minutes so paneer absorbs the gravy flavors.
paneer-butter-masala-c68624,8,"Stir in fresh cream, kasuri methi (crushed) and garam masala. Cook for 1 minute."
paneer-butter-masala-c68624,9,Add sugar to balance the acidity and taste; adjust salt if necessary.
paneer-butter-masala-c68624,10,"Turn off the heat, garnish with chopped coriander and a drizzle of cream."
paneer-butter-masala-c68624,11,"Serve hot with naan, roti or jeera rice."
pasta-alfredo-7764e3,1,Cook pasta according to package instructions until al dente; reserve 1/4 cup pasta water.
pasta-alfredo-7764e3,2,"In a pan, melt butter, sauté garlic briefly then add heavy cream and simmer 2 minutes."
pasta-alfredo-7764e3,3,Stir in grated parmesan until melted and smooth. Add cooked pasta and toss; use reserved pasta water to adjust consistency.
pasta-alfredo-7764e3,4,"Season with salt and pepper, garnish with parsley and serve immediately."
pav-bhaji-ba0e72,1,"Boil potatoes, cauliflower and peas until soft; mash roughly."
pav-bhaji-ba0e72,2,"In a large pan, heat butter and oil; sauté chopped onions until golden."
pav-bhaji-ba0e72,3,Add tomato puree and cook until oil separates; add pav bhaji masala and salt.
pav-bhaji-ba0e72,4,"Add mashed vegetables, adjust water and simmer for 8-10 minutes, mashing well to a thick consistency."
pav-bhaji-ba0e72,5,"Serve hot with buttered pav, chopped onions, coriander and lemon wedges."
sweet-corn-soup-6d7691,1,Heat oil in a pot; sauté onions and garlic until soft.
sweet-corn-soup-6d7691,2,Add carrots and capsicum and sauté for 1-2 minutes.
sweet-corn-soup-6d7691,3,Add sweet corn and vegetable stock; bring to a gentle boil.
sweet-corn-soup-6d7691,4,Mix cornflour with 3 tbsp water to make a slurry; slowly add to the soup while stirring to thicken.
sweet-corn-soup-6d7691,5,"If using egg, slowly pour beaten egg in a thin stream while stirring to create egg ribbons."
sweet-corn-soup-6d7691,6,"Season with salt and pepper, garnish with spring onion and serve hot."
tomato-soup-a813c8,1,"Blanch tomatoes in boiling water for 2 minutes, peel and roughly chop."
tomato-soup-a813c8,2,"Heat oil in a saucepan, sauté chopped onions and garlic until translucent."
tomato-soup-a813c8,3,Add chopped tomatoes and cook for 5-6 minutes until soft.
tomato-soup-a813c8,4,"Add stock, sugar and basil leaves; simmer for 10 minutes."
tomato-soup-a813c8,5,"Blend the soup until smooth, strain if desired, return to pot and adjust seasoning."
tomato-soup-a813c8,6,"Stir in a tablespoon of cream if using, garnish with basil and serve with croutons."
veg-burrito-74023a,1,Warm tortillas on a pan for 20 seconds each to soften.
veg-burrito-74023a,2,"Mix rice, beans, corn, sautéed onion and pepper, salsa and cheese."
veg-burrito-74023a,3,"Place filling on tortilla, fold edges and roll tightly. Serve warm with salsa."
veg-hakka-noodles-55c3f0,1,"Boil noodles according to packet instructions with a little oil; drain, rinse in cold water and toss with a drop of oil to prevent sticking."
veg-hakka-noodles-55c3f0,2,"Heat wok, add oil and smashed garlic; sauté quickly."
veg-hakka-noodles-55c3f0,3,Add sliced onion and green chillies; stir-fry 1 minute until translucent.
veg-hakka-noodles-55c3f0,4,"Add shredded cabbage, carrots and capsicum; stir-fry on high heat for 2-3 minutes so vegetables remain crisp."
veg-hakka-noodles-55c3f0,5,"Add soy sauce, chilli sauce, vinegar, salt and pepper; toss well."
veg-hakka-noodles-55c3f0,6,Add noodles and toss vigorously on high heat for 1-2 minutes so sauces coat noodles evenly.
veg-hakka-noodles-55c3f0,7,Finish with spring onion greens and serve immediately.
veg-manchurian-gravy-e7a92b,1,"Combine shredded cabbage, carrot, capsicum with salt, pepper, cornflour and maida; mix to form a stiff mixture."
veg-manchurian-gravy-e7a92b,2,Shape mixture into small balls (manchurian balls) and deep fry in hot oil until golden brown; drain on paper towel.
veg-manchurian-gravy-e7a92b,3,"For gravy, heat 2 tbsp oil in a pan; add minced garlic and ginger and sauté until aromatic."
veg-manchurian-gravy-e7a92b,4,"Add chopped onion and sauté until soft; add ketchup, soy sauce and vinegar."
